       TT_FCNC-TtoHJ_aThad_hct    0.15 +- 0.00
       TT_FCNC-aTtoHJ_Thad_hct    0.14 +- 0.00
       TT_FCNC-TtoHJ_aThad_hut    0.14 +- 0.00
       TT_FCNC-aTtoHJ_Thad_hut    0.14 +- 0.00
           ST_FCNC-TH_Thad_hct    0.01 +- 0.00
           ST_FCNC-TH_Thad_hut    0.03 +- 0.00
               DiPhotonJetsBox    794.68 +- 5.39
    GJet_Pt-20to40_MGG-80toInf    78.40 +- 4.64
    GJet_Pt-20toInf_MGG-40to80    241.89 +- 28.12
   GJet_Pt-40toInf_MGG-80toInf    3070.81 +- 26.51
     QCD_Pt-30to40_MGG-80toInf    211.80 +- 122.28
     QCD_Pt-30toInf_MGG-40to80    6687.63 +- 1263.84
    QCD_Pt-40toInf_MGG-80toInf    35073.11 +- 2912.66
                        TGJets    27.62 +- 7.38
                    tW_antitop    20.18 +- 1.94
                        tW_top    18.80 +- 2.08
                          TTGG    3.37 +- 0.07
                       TTGJets    152.17 +- 4.41
                        TTJets    753.56 +- 37.69
                  TTWJetsToLNu    0.72 +- 0.07
                   TTZToLLNuNu    0.54 +- 0.07
                    DYJetsToLL    94.16 +- 25.16
                      WGToLNuG    60.68 +- 6.86
                       ZGToLLG    19.69 +- 1.89
                            WW    8.89 +- 1.90
                            WZ    4.96 +- 1.20
                            ZZ    1.57 +- 0.64
                   GluGluHToGG    1.51 +- 0.13
                      VBFHToGG    0.13 +- 0.02
                        VHToGG    0.30 +- 0.02
                    ttHJetToGG    0.83 +- 0.03


                        TT Hct    0.29 +- 0.00
                        TT Hut    0.28 +- 0.00
                        ST Hct    0.01 +- 0.00
                        ST Hut    0.03 +- 0.00
               DiPhotonJetsBox    794.68 +- 5.39
                          GJet    3391.11 +- 38.92
                           QCD    41972.54 +- 3177.40
                        TGJets    27.62 +- 7.38
                            tW    38.98 +- 2.84
                          TTGG    3.37 +- 0.07
                       TTGJets    152.17 +- 4.41
                        TTJets    753.56 +- 37.69
                           TTV    1.26 +- 0.10
                            DY    94.16 +- 25.16
                            VG    80.36 +- 7.12
                            VV    15.42 +- 2.33
                      SM_Higgs    2.77 +- 0.14

                     Total bkg    47327.98 +- 3177.99
                          Data    78441.00 +- 280.07
                (MC-data)/data    -39.7 +- 4.1 %


               DiPhotonJetsBox    1.68 %
                          GJet    7.17 %
                           QCD    88.68 %
                        TGJets    0.06 %
                            tW    0.08 %
                          TTGG    0.01 %
                       TTGJets    0.32 %
                        TTJets    1.59 %
                           TTV    0.00 %
                            DY    0.20 %
                            VG    0.17 %
                            VV    0.03 %
                      SM_Higgs    0.01 %
